OBJECTID,Name,Location,District,Neighbourhood,Container_Type,Bin_Type,Longitude,Latitude
802,"ČAĐAVIČKI PUT 10, 10040 ZAGREB","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.8314572<br>Zemljopisna dužina: 16.0667995","Gornja Dubrava","Poljanice","Zvono","Papir",16.06668148228641,45.83161605478234
807,"ČRNKOVEČKA ULICA 11, 10408 ZAGREB","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.7738984<br>Zemljopisna dužina: 16.0416528","Peščenica - Žitnjak","Petruševec","Zvono","Papir",16.041729242696633,45.77389652841394
808,"ČRNOMEREC 1, 10000 ZAGREB","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.8150603<br>Zemljopisna dužina: 15.9359382","Črnomerec","\"Bartol Kašić\"","Zvono","Papir",15.936093767592322,45.815107035033414
811,"Cvetki 26, 10257, Demerje, Zagreb, Grad Zagreb, HRV","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.733425<br>Zemljopisna dužina: 15.87741","Brezovica","Demerje","Zvono","Papir",15.877501195002488,45.73338755580219
812,"CVJETNO NASELJE I. 10, 10000 ZAGREB","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.792255<br>Zemljopisna dužina: 15.964605","Trnje","Cvjetno naselje","Zvono","Papir",15.964605000187664,45.79225499894073
814,"Dankovečka ulica 33, 10040, Zagreb, Grad Zagreb, HRV","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.8344503<br>Zemljopisna dužina: 16.0558643","Gornja Dubrava","Klaka","Zvono","Papir",16.055816020129512,45.83446524946724
815,"Beethovenova ulica, 10110, Zagreb, Grad Zagreb, HRVDEKANIĆI 5, 10000 ZAGREB","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.79323<br>Zemljopisna dužina: 15.90362","Trešnjevka - jug","Prečko","Zvono","Papir",15.903606588526564,45.79322999902508
816,"Demerska ulica 33, 10257, Demerje, Zagreb, Grad Zagreb, HRV","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.7316588<br>Zemljopisna dužina: 15.8865056","Brezovica","Demerje","Zvono","Papir",15.886280294327218,45.73131430652638
817,"DINARSKA 67, 10000 ZAGREB","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.7943899<br>Zemljopisna dužina: 15.9349657","Trešnjevka - sjever","Ljubljanica","Zvono","Papir",15.934917420455927,45.79439457472615
818,"Dinarski put 1D, 10090, Zagreb, Grad Zagreb, HRV","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.802125<br>Zemljopisna dužina: 15.91046","Stenjevec","Vrapče - jug","Zvono","Plastika",15.91045463580624,45.80210443027398
819,"Dinarski put 1D, 10090, Zagreb, Grad Zagreb, HRV","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.8021<br>Zemljopisna dužina: 15.9104833","Stenjevec","Vrapče - jug","Zvono","Papir",15.910483299723763,45.80209999944545
820,"DOBRI DOL 50, 10000 ZAGREB","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.8245341<br>Zemljopisna dužina: 15.9984481","Maksimir","Dobri Dol","Zvono","Papir",15.998464193805136,45.824201395228464
821,"DOBRI DOL 56, 10009 ZAGREB","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.8258133<br>Zemljopisna dužina: 15.9983767","Maksimir","Dobri Dol","Zvono","Papir",15.998374017852958,45.82592263995214
824,"DONJE SVETICE 107, 10000 ZAGREB","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.8010567<br>Zemljopisna dužina: 16.0158217","Peščenica - Žitnjak","Ferenščica","Zvono","Papir",16.01597995004326,45.80129230664859
827,"DORE PFANOVE 11, 10000 ZAGREB","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.8019095<br>Zemljopisna dužina: 15.9419545","Trešnjevka - sjever","Pongračevo","Zvono","Papir",15.942095315853248,45.80192913305167
829,"Drenjska bb, 10040 Zagreb","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.8383146<br>Zemljopisna dužina: 16.0498597","Gornja Dubrava","Klaka","Zvono","Staklo",16.05056780270339,45.837189656976065
831,"DUBEČKA ULICA 5, 10040 ZAGREB","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.8291617<br>Zemljopisna dužina: 16.0802217","Gornja Dubrava","Dubec","Zvono","Papir",16.076783107789186,45.82990554135973
834,"FERENŠČICA I. 104, 10000 ZAGREB","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.8013136<br>Zemljopisna dužina: 16.0265726","Peščenica - Žitnjak","Ferenščica","Zvono","Papir",16.026638314410615,45.80116494221853
837,"FERENŠČICA IIV. 17 , 10135 ZAGREB","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.7996367<br>Zemljopisna dužina: 16.0237517","Peščenica - Žitnjak","Ferenščica","Zvono","Papir",16.02376242878075,45.79961051944326
838,"FOJNIČKA ULICA 12, 10000 ZAGREB","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.7948717<br>Zemljopisna dužina: 15.9852583","Trnje","Staro Trnje","Zvono","Papir",15.985258300529308,45.794871698862856
839,"FUISA FRANJE 2, 10000 ZAGREB","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.787008<br>Zemljopisna dužina: 15.9393032","Trešnjevka - jug","Horvati - Srednjaci","Zvono","Papir",15.939386347917992,45.78700238817312
840,"Ulica Franje Fuisa 6, 10110, Zagreb, Grad Zagreb, HRV","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.7873092<br>Zemljopisna dužina: 15.9381457","Trešnjevka - jug","Horvati - Srednjaci","Zvono","Papir",15.93826774106784,45.787039865916675
841,"ULICA AUGUSTA HARAMBAŠIĆA 53, 10000 ZAGREB","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.8137084<br>Zemljopisna dužina: 16.0115744","Peščenica - Žitnjak","Peščenica","Zvono","Papir",16.011724603738738,45.81256753576349
842,"ULICA AUGUSTA HARAMBAŠIĆA 53, 10000 ZAGREB","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.8137267<br>Zemljopisna dužina: 16.01162","Peščenica - Žitnjak","Peščenica","Zvono","Papir",16.011737011613377,45.81256164923956
843,"GAVELLINA ULICA 1B, 10135 ZAGREB","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.7914783<br>Zemljopisna dužina: 16.0083567","Peščenica - Žitnjak","Folnegovićevo naselje","Zvono","Papir",16.00823600112101,45.79143154347258
